Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A46095816,Cat,Domestic Shorthair,Mix,F,Yes,6.0,Young,Injured,11/13/2020 5:11 PM,Stray,ACO / Police Drop Off,,,2/20/2021 5:25 PM,2/20/2021 5:25 PM,Adoption,Adoption Center,,
A46134087,Dog,American Blue Heeler,Mix,M,Yes,23.0,Adult,Normal,11/19/2020 8:00 AM,Owner/Guardian Surrender,For Adoption,Other,,1/30/2021 3:24 PM,1/30/2021 3:24 PM,Adoption,Adoption Center,,
A46134403,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,F,Yes,9.0,Young,Normal,11/19/2020 8:46 AM,Owner/Guardian Surrender,For Adoption,Other,,1/22/2021 7:07 PM,1/22/2021 7:07 PM,Adoption,Adoption Center,,
A46134499,Cat,Domestic Medium Hair,Mix,M,Yes,3.0,Young,Normal,11/20/2020 8:58 AM,Owner/Guardian Surrender,For Adoption,Other,,1/25/2021 6:00 PM,1/25/2021 6:00 PM,Adoption,Adoption Center,,
A46135068,Cat,Domestic Shorthair,Mix,F,Yes,3.0,Baby,Normal,11/18/2020 4:00 PM,Stray,ACO / Police Drop Off,,,12/13/2020 1:12 PM,12/13/2020 1:12 PM,Adoption,Adoption Center,,
A46147329,Dog,Shepherd,Mix,M,Yes,119.0,Adult,Normal,11/22/2020 3:41 PM,Stray,ACO / Police Drop Off,,,1/6/2021 11:42 AM,1/6/2021 11:42 AM,Adoption,Adoption Center,,
A46147387,Cat,Domestic Medium Hair,Mix,M,Yes,9.0,Adult,Normal,11/22/2020 3:53 PM,Owner/Guardian Surrender,For Adoption,Other,,12/19/2020 2:39 PM,12/19/2020 2:39 PM,Adoption,Adoption Center,,
A46147473,Cat,Domestic Medium Hair,Mix,F,Yes,2.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/8/2021 6:24 PM,1/8/2021 6:24 PM,Adoption,Adoption Center,,
A46147476,Cat,Domestic Medium Hair,Mix,F,Yes,3.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/4/2021 4:33 PM,1/4/2021 4:33 PM,Adoption,Adoption Center,,
A46147482,Cat,Domestic Medium Hair,Mix,M,Yes,3.0,Baby,Normal,11/22/2020 4:19 PM,Owner/Guardian Surrender,For Adoption,Other,,1/26/2021 1:47 PM,1/26/2021 1:47 PM,Adoption,Adoption Center,,
