Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A40335600,Dog,German Shepherd,Australian Shepherd,M,Yes,1.0,Baby,Normal,12/8/2018 3:02 PM,Owner/Guardian Surrender,For Adoption,Other,,12/22/2018 3:49 PM,12/22/2018 3:49 PM,Adoption,Adoption Center,,
A40361405,Cat,Domestic Medium Hair,Mix,U,No,,Adult,Normal,12/12/2018 4:11 PM,Stray,ACO / Police Drop Off,,,1/15/2019 3:38 PM,,Euthanasia,Disease - Chronic,,
A40370473,Cat,Domestic Shorthair,Mix,M,Yes,,Adult,Normal,12/13/2018 5:00 PM,Stray,ACO / Police Drop Off,,,12/14/2018 6:21 PM,12/14/2018 6:21 PM,Return to Owner/Guardian,Stray Reclaim,,
A40399246,Dog,"Retriever, Labrador",American Blue Heeler,M,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40399254,Dog,"Retriever, Labrador",American Blue Heeler,M,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40399261,Dog,"Retriever, Labrador",American Blue Heeler,F,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,3/8/2019 2:38 PM,3/8/2019 2:38 PM,Adoption,Adoption Center,,
A40399265,Dog,"Retriever, Labrador",American Blue Heeler,F,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,2/19/2019 12:38 PM,2/19/2019 12:38 PM,Adoption,Adoption Center,,
A40399269,Dog,"Retriever, Labrador",American Blue Heeler,F,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,1/16/2019 5:42 PM,1/16/2019 5:42 PM,Adoption,Adoption Center,,
A40399273,Dog,"Retriever, Labrador",American Blue Heeler,F,Yes,2.0,Baby,Normal,12/18/2018 7:53 AM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,1/25/2019 1:01 PM,1/25/2019 1:01 PM,Transfer Out,For Adoption,For Adoption,Humane Society of Sheboygan County
A40435511,Cat,Domestic Shorthair,Mix,M,Yes,,Adult,Normal,12/23/2018 10:56 AM,Stray,Public Drop Off,,,12/28/2018 1:42 PM,,Euthanasia,Disease - FIV+,,
A40436361,Dog,Australian Shepherd,Border Collie,F,Yes,1.0,Baby,Normal,12/23/2018 2:20 PM,Owner/Guardian Surrender,For Adoption,Other,,1/19/2019 2:20 PM,1/19/2019 2:20 PM,Adoption,Adoption Center,,
