Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A41951418,Cat,Domestic Shorthair,Mix,M,Yes,1.0,Young,Normal,6/13/2019 12:08 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,8/10/2019 1:01 PM,8/10/2019 1:01 PM,Adoption,Adoption Center,,
A41960453,Cat,Domestic Medium Hair,Mix,F,No,,Young,Normal,6/15/2019 12:40 PM,Stray,Public Drop Off,,,6/19/2019 4:01 PM,6/19/2019 4:01 PM,Return to Owner/Guardian,Stray Reclaim,,
A41995916,Cat,Domestic Shorthair,Mix,M,Yes,11.0,Young,Normal,6/18/2019 2:10 PM,Stray,ACO / Police Drop Off,,,6/19/2019 10:01 AM,6/19/2019 10:01 AM,Return to Owner/Guardian,Stray Reclaim,,
A41995916,Cat,Domestic Shorthair,Mix,M,Yes,11.0,Adult,Normal,6/19/2019 10:02 AM,Owner/Guardian Surrender,For Adoption,Can't Afford,,9/25/2019 6:29 PM,9/25/2019 6:29 PM,Adoption,Adoption Center,,
A41998462,Dog,Beagle,Mix,M,Yes,,Adult,Normal,6/19/2019 4:36 PM,Stray,ACO / Police Drop Off,,,6/19/2019 4:39 PM,6/19/2019 4:39 PM,Return to Owner/Guardian,Stray Reclaim,,
A41998462,Dog,Beagle,Mix,M,Yes,,Adult,Normal,9/30/2019 12:50 PM,Stray,Public Drop Off,,,9/30/2019 2:45 PM,9/30/2019 2:45 PM,Return to Owner/Guardian,Stray Reclaim,,
A41998647,Cat,Domestic Shorthair,Mix,M,Yes,4.0,Young,Normal,6/19/2019 4:53 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,2/4/2020 11:25 AM,2/4/2020 11:25 AM,Adoption,Adoption Center,,
A41998684,Cat,Domestic Shorthair,Mix,M,Yes,4.0,Young,Normal,6/19/2019 4:56 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,9/10/2019 12:27 PM,9/10/2019 12:27 PM,Adoption,Adoption Center,,
A41998706,Cat,Domestic Shorthair,Mix,M,Yes,4.0,Young,Normal,6/19/2019 4:56 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,1/4/2020 12:55 PM,1/4/2020 12:55 PM,Adoption,Adoption Center,,
A41998761,Cat,Domestic Shorthair,Mix,M,Yes,3.0,Young,Normal,6/19/2019 5:01 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/4/2019 3:01 PM,10/4/2019 3:01 PM,Adoption,Adoption Center,,
A41998769,Cat,Domestic Shorthair,Mix,M,Yes,3.0,Young,Normal,6/19/2019 5:01 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/30/2019 6:39 PM,10/30/2019 6:39 PM,Adoption,Adoption Center,,
A41998783,Cat,Domestic Shorthair,Mix,M,Yes,3.0,Young,Normal,6/19/2019 5:01 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/2/2019 2:46 PM,10/2/2019 2:46 PM,Adoption,Adoption Center,,
A41998793,Cat,Domestic Shorthair,Mix,F,Yes,3.0,Young,Normal,6/19/2019 5:01 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,8/12/2019 1:26 PM,8/12/2019 1:26 PM,Adoption,Adoption Center,,
A42001932,Cat,Domestic Shorthair,Mix,F,Yes,11.0,Adult,Normal,6/19/2019 10:04 AM,Owner/Guardian Surrender,For Adoption,Can't Afford,,9/25/2019 6:29 PM,9/25/2019 6:29 PM,Adoption,Adoption Center,,
A42019922,Cat,Domestic Shorthair,Mix,F,Yes,3.0,Baby,Normal,6/21/2019 5:14 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,4/18/2020 11:55 AM,4/18/2020 11:55 AM,Adoption,Adoption Center,,
A42019929,Cat,Domestic Shorthair,Mix,M,Yes,3.0,Baby,Normal,6/21/2019 5:14 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/27/2019 1:13 PM,10/27/2019 1:13 PM,Adoption,Adoption Center,,
A42019938,Cat,Domestic Shorthair,Mix,M,Yes,3.0,Baby,Normal,6/21/2019 5:14 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,2/1/2020 3:09 PM,2/1/2020 3:09 PM,Adoption,Adoption Center,,
A42035259,Dog,Rottweiler,Mix,M,Yes,23.0,Adult,Normal,6/24/2019 11:48 AM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,7/5/2019 2:57 PM,7/5/2019 2:57 PM,Adoption,Adoption Center,,
A42044340,Cat,Domestic Shorthair,Mix,M,Yes,1.0,Young,Normal,6/25/2019 10:42 AM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,8/21/2019 5:05 PM,8/21/2019 5:05 PM,Adoption,Adoption Center,,
A42062384,Cat,Domestic Shorthair,Mix,F,Yes,10.0,Young,Normal,6/26/2019 6:51 PM,Stray,ACO / Police Drop Off,,,4/26/2021 1:40 PM,4/26/2021 1:40 PM,Adoption,Adoption Center,,
A42069241,Dog,Beagle,Mix,F,Yes,,Adult,Normal,6/27/2019 2:11 PM,Stray,ACO / Police Drop Off,,,6/27/2019 2:43 PM,6/27/2019 2:43 PM,Return to Owner/Guardian,Stray Reclaim,,
A42082948,Cat,Domestic Medium Hair,Mix,M,Yes,2.0,Baby,Normal,6/28/2019 6:34 PM,Stray,Public Drop Off,,,7/12/2019 5:31 PM,7/12/2019 5:31 PM,Adoption,Adoption Center,,
A43329588,Dog,"Retriever, Labrador",Shepherd,M,Yes,1.0,Baby,Normal,11/29/2019 3:38 PM,Owner/Guardian Surrender,For Adoption,Other,,12/26/2019 11:55 AM,12/26/2019 11:55 AM,Adoption,Adoption Center,,
A43330422,Dog,Beagle,Mix,F,Yes,72.0,Adult,Normal,11/29/2019 7:10 PM,Transfer In,For Adoption,Ready for Adoption,Bichon and Little Buddies Rescue,12/16/2019 12:32 PM,12/16/2019 12:32 PM,Adoption,Adoption Center,,
A43409708,Cat,Domestic Shorthair,Mix,M,Yes,23.0,Adult,Injured,12/10/2019 3:15 PM,Stray,ACO / Police Drop Off,,,6/11/2020 7:19 PM,6/11/2020 7:19 PM,Adoption,Adoption Center,,
A43421766,Cat,Domestic Shorthair,Mix,M,Yes,24.0,Adult,Normal,12/13/2019 10:30 AM,Clinic,Neuter,,,12/13/2019 10:32 AM,12/13/2019 10:32 AM,Clinic Out,Other,,
