Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
1,"Cur, Mountain",American Blue Heeler,0,1,22.0,Adult,Normal,8/2/2019 3:15 PM,Return,Beyond Exchange Period,Time - Not Enough,,8/28/2019 2:34 PM,8/28/2019 2:34 PM,Adoption,Adoption Center,,
1,Australian Cattle Dog,Border Collie,1,1,24.0,Young,Normal,11/20/2019 6:07 PM,Return,Beyond Exchange Period,Behavior Problem,,11/22/2019 6:03 PM,11/22/2019 6:03 PM,Return to Owner/Guardian,Owner Reclaim,,
1,Beagle,Mix,0,1,81.0,Adult,Normal,1/12/2019 2:43 PM,Return,Beyond Exchange Period,Other,,2/16/2019 12:24 PM,2/16/2019 12:24 PM,Adoption,Adoption Center,,
0,Domestic Longhair,Mix,0,1,22.0,Young,Normal,2/25/2019 1:05 PM,Return,Within Exchange Period,Other,,4/8/2019 1:47 PM,4/8/2019 1:47 PM,Adoption,Adoption Center,,
1,"Chihuahua, Short Coat",Pomeranian,0,1,85.0,Adult,Normal,6/3/2019 2:07 PM,Return,Beyond Exchange Period,Too Many Pets,,7/12/2019 9:11 AM,7/12/2019 9:11 AM,Adoption,Adoption Center,,
1,Pug,"Terrier, Rat",1,1,17.0,Adult,Normal,10/24/2019 3:11 PM,Clinic,Vaccinations,,,10/25/2019 1:03 PM,10/25/2019 1:03 PM,Clinic Out,Vaccinations,,
0,Domestic Shorthair,Mix,0,1,22.0,Adult,Normal,8/9/2019 5:26 PM,Return,Beyond Exchange Period,Behavior Problem,,10/20/2020 8:20 PM,10/20/2020 8:20 PM,Adoption,Adoption Center,,
1,"Coonhound, Treeing Walker",Border Collie,1,1,7.0,Baby,Normal,3/14/2019 11:12 AM,Return,Beyond Exchange Period,Time - Not Enough,,5/18/2019 2:12 PM,5/18/2019 2:12 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,17.0,Young,Normal,3/20/2019 4:07 PM,Return,Beyond Exchange Period,Moving,,3/30/2019 12:36 PM,3/30/2019 12:36 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,21.0,Young,Normal,8/24/2019 2:53 PM,Return,Beyond Exchange Period,Other,,4/22/2020 8:27 PM,4/22/2020 8:27 PM,Adoption,Adoption Center,,
1,Border Collie,Mix,0,1,6.0,Young,Normal,3/21/2019 1:00 PM,Return,Beyond Exchange Period,Behavior Problem,,5/10/2019 12:29 PM,,Euthanasia,Temperment,,
1,German Shepherd,Mix,0,1,5.0,Baby,Normal,1/31/2019 7:52 PM,Stray,ACO / Police Drop Off,,,2/1/2019 7:55 PM,2/1/2019 7:55 PM,Return to Owner/Guardian,Stray Reclaim,,
1,German Shepherd,Australian Shepherd,1,1,5.0,Baby,Normal,3/28/2019 11:02 AM,Return,Beyond Exchange Period,Other,,3/28/2019 11:10 AM,3/28/2019 11:10 AM,Adoption,Adoption Center,,
1,German Shepherd,Australian Shepherd,1,1,6.0,Baby,Normal,5/17/2019 2:03 PM,Return,Beyond Exchange Period,Behavior Problem,,5/20/2019 10:56 AM,5/20/2019 10:56 AM,Return to Owner/Guardian,Owner Reclaim,,
0,Domestic Shorthair,Mix,1,1,,Adult,Normal,1/25/2019 8:30 PM,Stray,Public Drop Off,,,2/10/2019 1:12 PM,2/10/2019 1:12 PM,Adoption,Adoption Center,,
1,Bichon Frise,Terrier,1,1,180.0,Senior,Sick,1/3/2019 11:51 AM,Owner/Guardian Surrender,Euthanasia Owner Request,Health Issues of Dog,,1/3/2019 5:59 PM,,Euthanasia,Age - Old,,
1,Tibetan Mastiff,Mix,0,1,41.0,Adult,Normal,1/6/2019 12:34 PM,Owner/Guardian Surrender,For Adoption,Other,,2/9/2019 12:15 PM,2/9/2019 12:15 PM,Adoption,Adoption Center,,
1,"Terrier, Manchester",Mix,1,1,12.0,Young,Fearful,1/13/2019 2:08 PM,Owner/Guardian Surrender,For Adoption,Other,,4/20/2019 12:42 PM,4/20/2019 12:42 PM,Adoption,Adoption Center,,
1,"Terrier, Manchester",Mix,0,1,12.0,Young,Fearful,1/13/2019 2:08 PM,Owner/Guardian Surrender,For Adoption,Other,,6/6/2019 2:42 PM,6/6/2019 2:42 PM,Adoption,Adoption Center,,
1,"Chihuahua, Short Coat","Terrier, Yorkshire",1,0,1.0,Baby,Normal,1/13/2019 2:08 PM,Owner/Guardian Surrender,For Adoption,Other,,2/26/2019 11:20 AM,,Died,Ill,,
1,"Chihuahua, Short Coat","Terrier, Yorkshire",0,1,1.0,Baby,Normal,1/13/2019 2:08 PM,Owner/Guardian Surrender,For Adoption,Other,,4/27/2019 3:20 PM,4/27/2019 3:20 PM,Adoption,Adoption Center,,
1,Coonhound,Mix,0,1,3.0,Baby,Normal,1/13/2019 2:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/25/2019 2:34 PM,3/25/2019 2:34 PM,Adoption,Adoption Center,,
1,"Mixed Breed, Small (under 24 lbs fully grown)",Mix,1,1,,Senior,Normal,1/15/2019 9:51 AM,Owner/Guardian Surrender,Euthanasia Owner Request,Health Issues of Dog,,1/15/2019 4:01 PM,,Euthanasia,Owner Request,,
0,Domestic Shorthair,Mix,1,1,,Adult,Normal,1/18/2019 9:09 AM,Clinic,Neuter,,,1/18/2019 9:10 AM,1/18/2019 9:10 AM,Clinic Out,Other,,
1,"Chihuahua, Short Coat",Beagle,1,1,24.0,Adult,Normal,1/18/2019 9:15 AM,Clinic,Neuter,,,1/18/2019 9:17 AM,1/18/2019 9:17 AM,Clinic Out,Other,,
0,Domestic Shorthair,Mix,1,1,,Adult,Normal,1/18/2019 9:40 AM,Clinic,Neuter,,,1/18/2019 9:43 AM,1/18/2019 9:43 AM,Clinic Out,Other,,
0,Domestic Shorthair,Mix,1,1,21.0,Adult,Normal,1/18/2019 9:40 AM,Clinic,Neuter,,,1/18/2019 9:44 AM,1/18/2019 9:44 AM,Clinic Out,Other,,
1,German Shepherd,Mix,0,1,9.0,Young,Normal,1/18/2019 9:55 AM,Clinic,Spay,,,1/18/2019 9:59 AM,1/18/2019 9:59 AM,Clinic Out,Other,,
