Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,7/23/2018 11:27 AM,7/23/2018 11:27 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,2,0,1.0,Baby,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,5/1/2018 10:58 AM,,Died,Unknown,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/22/2018 4:08 PM,6/22/2018 4:08 PM,Adoption,Adoption Center,,
1,"Coonhound, Redbone",Mix,0,1,10.0,Young,Normal,4/28/2018 2:54 PM,Owner/Guardian Surrender,For Adoption,Other,,7/2/2018 2:27 PM,7/2/2018 2:27 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Terrier,1,1,2.0,Young,Normal,5/2/2018 6:21 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,8/4/2018 1:09 PM,8/4/2018 1:09 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Terrier,1,1,2.0,Young,Normal,5/2/2018 6:21 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,7/5/2018 2:33 PM,7/5/2018 2:33 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Terrier,1,1,2.0,Young,Normal,5/2/2018 6:21 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,6/22/2018 3:29 PM,6/22/2018 3:29 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Terrier,0,1,2.0,Young,Normal,5/2/2018 6:21 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,6/11/2018 12:43 PM,6/11/2018 12:43 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,35.0,Adult,Normal,5/2/2018 9:12 PM,Stray,ACO / Police Drop Off,,,6/23/2018 12:10 PM,6/23/2018 12:10 PM,Adoption,Adoption Center,,
1,"Dachshund, Miniature Long Haired","Terrier, Yorkshire",0,1,132.0,Senior,Normal,5/4/2018 3:28 PM,Owner/Guardian Surrender,For Adoption,Divorce,,8/4/2018 2:42 PM,8/4/2018 2:42 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,0,24.0,Adult,Normal,5/4/2018 4:44 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/15/2018 4:36 PM,,Euthanasia,Behavior,,
0,Domestic Shorthair,Mix,0,1,24.0,Adult,Normal,5/4/2018 4:44 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/5/2018 11:28 AM,8/5/2018 11:28 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,0.0,Baby,Normal,8/21/2018 8:50 AM,Stray,ACO / Police Drop Off,,,10/26/2018 3:07 PM,10/26/2018 3:07 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Normal,8/21/2018 8:50 AM,Stray,ACO / Police Drop Off,,,11/30/2018 2:52 PM,11/30/2018 2:52 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,10.0,Adult,Normal,8/20/2018 8:56 AM,Stray,Public Drop Off,,,11/23/2018 2:49 PM,11/23/2018 2:49 PM,Adoption,Adoption Center,,
1,"Retriever, Labrador",Hound,0,1,30.0,Adult,Normal,8/22/2018 2:57 PM,Owner/Guardian Surrender,For Adoption,Other,,9/15/2018 12:19 PM,9/15/2018 12:19 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,8/24/2018 12:39 PM,Stray,Public Drop Off,,,10/6/2018 11:28 AM,10/6/2018 11:28 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Unweaned,8/24/2018 2:24 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,11/28/2018 3:28 PM,11/28/2018 3:28 PM,Adoption,Adoption Center,,
1,German Shepherd,Mix,0,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/31/2018 3:17 PM,10/31/2018 3:17 PM,Adoption,Adoption Center,,
1,German Shepherd,Mix,0,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/19/2018 6:45 PM,10/19/2018 6:45 PM,Adoption,Adoption Center,,
1,German Shepherd,Mix,0,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/18/2018 11:14 AM,10/18/2018 11:14 AM,Transfer Out,For Adoption,For Adoption,Oshkosh Area Humane Society
1,German Shepherd,Mix,1,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/20/2018 3:23 PM,10/20/2018 3:23 PM,Adoption,Adoption Center,,
1,German Shepherd,Mix,1,1,1.0,Baby,Normal,8/22/2018 2:28 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/18/2018 11:14 AM,10/18/2018 11:14 AM,Transfer Out,For Adoption,For Adoption,Oshkosh Area Humane Society
