Animal #,Found_Zip_Code,found_lat,found_long
A39853991,54981,44.35608015,-89.1001667
A39890295,54981,44.35594,-89.07482807
A39955341,54981,44.35792137,-89.0749649
A39972240,54981,44.36964,-89.098324
A39972244,54981,44.36964,-89.098324
A36718457,54983,44.3181119,-88.9341154
A40006280,54981,44.3539512,-89.103185
A40034460,54981,39.75849975,-75.01798899
A40089884,54981,32.7282668,-97.8284901
A40138748,54983,44.319012,-88.93992277
A40194174,54981,44.353932,-89.086149
A40194880,nan,37.05080388,-76.50281604
A40233189,54981,44.36117709,-89.09308485
A37748603,54983,44.6802839,-63.5899976
A37748622,54983,44.6802839,-63.5899976
A37800696,54981,44.36117709,-89.09308485
A37856460,54981,48.1451904,11.59270031
A37917209,54981,44.360021,-89.077237
A37920980,54981,35.045555,-101.91468
A37945206,54981,44.3482615,-89.08547265
A37955355,54981,44.319449,-89.0977594
A37961666,54981,44.35829194,-89.09458946
A38050022,54981,52.1047041,-122.0342408
A38083080,54983,44.32064,-88.927951
A38090083,54981,44.341044,-89.102174
A38096985,54981,44.35957082,-89.08130867
A38117262,54983,44.31974,-88.9299463
A38169686,54981,44.3482615,-89.08547265
A38943735,54983,44.316348,-88.9307435
A38982417,54981,50.6258903,16.2401769
A39071705,54981,44.357362,-89.081034
A39125641,54981,44.36023169,-89.08916146
A39142822,54981,44.36117709,-89.09308485
A39165290,54981,44.35700251,-89.08391184
A39167508,54981,44.312728,-89.153077
A39178470,54983,44.318188,-88.94098228
A39190214,54981,44.312728,-89.153077
A39254202,54981,33.9279049,-84.3564917
A39254212,54981,33.9279049,-84.3564917
A39292020,54983,44.3173564,-88.93439902
A39292028,54983,44.3173564,-88.93439902
A39292041,54983,44.3173564,-88.93439902
A39307731,54981,44.3539512,-89.103185
A39332293,54981,44.36211086,-89.08964648
A39358144,54981,44.356045,-89.11787
A39417449,54981,44.35348042,-89.08001753
A39436765,54981,44.361116,-89.087574
A40361405,54981,25.2848564,110.328752
A40435511,54981,44.3578051,-89.10823851
A38203327,54981,44.35155811,-89.08026278
A38249920,54981,44.357078,-89.084893
A38409573,54945,30.6937815,-88.18044788
A38463042,54981,44.360021,-89.077237
A39490655,54962,44.35743685,-89.11312572
A39551333,54981,44.35827151,-89.07855982
A39616601,54981,44.35344559,-89.07909524
A39671901,54981,44.360021,-89.077237
A39677423,54981,44.35827151,-89.07855982
