Animal #,Out City,Out Province,Out Postal Code,adopted_lat,adopted_long
A41776770,Wild Rose,WI,54984,44.17909282,-89.24751114
A41776791,Wild Rose,WI,54984,44.17909282,-89.24751114
A41806739,Waupaca,WI,54981,44.3392,-89.1409021
A41806747,Waupaca,WI,54981,44.3392,-89.1409021
A41819785,New London,WI,54961,44.3936368,-88.75087833
A41821579,Oshkosh,WI,54901,44.034698,-88.53371
A41822147,Marion,WI,54950,44.66727894,-88.88254446
A41822196,New London,WI,54961,44.39358329,-88.74972506
A41822263,New London,WI,54961,44.39358329,-88.74972506
A41822312,New London,WI,54961,44.39358329,-88.74972506
A41822460,Appleton,WI,54914,44.2452947,-88.4417066
A41822547,Waupaca,WI,54981,44.35406053,-89.09023516
A41843139,Clintonville,WI,54929,44.59950035,-88.76697859
A41843258,New London,WI,54961,44.38238839,-88.73948961
A41845251,Wautoma,WI,54982,44.07561018,-89.27825614
A41845286,Wautoma,WI,54982,44.07561018,-89.27825614
A41845299,Wautoma,WI,54982,44.07561018,-89.27825614
A41898796,Iola,WI,54945,44.50544045,-89.128061
A41905644,Waupaca,WI,54981,44.35896,-89.082307
A41941675,Dubuque,IA,52001,42.51329944,-90.70472043
A41949968,New London,WI,54961,44.40890216,-88.74588008
A41949986,Green Bay,WI,54303,44.547605,-88.05155709
A41950011,Clintonville,WI,54929,44.61499467,-88.76404667
A41960453,Waupaca,WI,54981,44.35954174,-89.07864187
A41995916,Kenosha,WI,53144,42.64861137,-87.91520683
A41998462,Waupaca,WI,54981,44.35932142,-89.08897609
A41998462,Waupaca,WI,54981,44.35932142,-89.08897609
A41998684,Weyauwega,WI,54983,44.318225,-88.936319
A41998761,Oshkosh,WI,54902,44.03327979,-88.57095607
A41998769,Waupaca,WI,54981,44.3460238,-89.0807694
A41998793,Waupaca,WI,54981,44.34770482,-89.08061235
A42001932,Kenosha,WI,53144,42.64861137,-87.91520683
A42019929,Milwaukee,WI,53217,43.18719715,-87.91048652
A42082948,Stevens Point,WI,54481,44.50216353,-89.56201957
A43329588,Waupaca,WI,54981,44.367878,-89.098879
A43421766,Weyauwega,WI,54983,44.31970714,-88.91698265
A43421823,Weyauwega,WI,54983,44.31970714,-88.91698265
A43422024,Amherst,WI,54406,44.44868416,-89.28613078
A43422037,Amherst,WI,54406,44.44868416,-89.28613078
A43422560,Clintonville,WI,54929,44.60777778,-88.7624068
A43422661,Waupaca,WI,54981,44.36902347,-89.09393918
A43422671,Waupaca,WI,54981,44.36902347,-89.09393918
A43422779,Waupaca,WI,54981,44.35953424,-89.07747786
A43422793,Waupaca,WI,54981,44.35953424,-89.07747786
A43422917,Waupaca,WI,54981,44.3679151,-89.08515852
A43422996,Waupaca,WI,54981,44.3679151,-89.08515852
A43458378,Appleton,WI,54914,44.25593473,-88.42425791
A43458382,Plover,WI,54467,44.4718647,-89.5466571
A43458387,Stevens Point,WI,54481,44.53613054,-89.54876939
A43479686,Winneconne,WI,54986,44.1139291,-88.70088705
A43479726,Waupaca,WI,54981,44.35247379,-89.08972261
A43479834,Stevens Point,WI,54481,44.5010798,-89.5656734
A40643658,Phelps,WI,54554,46.10725051,-89.08108973
A40643694,Green Bay,WI,54313,44.57735394,-88.12426904
A40643711,Menasha,WI,54952,44.20198317,-88.45516026
A40643724,Waupaca,WI,54981,44.3496757,-89.07402917
A40643753,Menasha,WI,54952,44.2140366,-88.3680042
A40643761,Neenah,WI,54956,44.15137693,-88.45745747
A40643780,Appleton,WI,54914,44.2884244,-88.42035898
A40652044,Waupaca,WI,54981,44.35503071,-89.08499647
A40715840,Ogdensburg,WI,54962,44.453904,-89.033054
A40715840,Green Lake,WI,54941,43.83790096,-88.95960235
A40715843,Almond,WI,54909,44.301974,-89.381628
A40715856,Neenah,WI,54956,44.1672139,-88.5051432
A40802065,Fremont,WI,54940,44.26360426,-88.87617422
A40820681,Waupaca,WI,54981,44.35041778,-89.0691205
A40874220,Waupaca,WI,54981,44.35801651,-89.09294455
A40876353,Waupaca,WI,54981,44.358344,-89.09282477
A40876445,Friesland,WI,53935,43.5886796,-89.0624558
A40876456,Weyauwega,WI,54983,44.322294,-88.92381
A40876467,Stevens Point,WI,54481,44.50624188,-89.56566763
A40876475,Waupaca,WI,54981,44.34953213,-89.06813692
A40876483,Manitowoc,WI,54220,44.1646571,-87.67014327
A41011178,Grayslake,IL,60030,42.351574,-88.05238837
A41011184,Mosinee,WI,54455,44.7895583,-89.68584359
A41011202,Appleton,WI,54915,44.25654305,-88.38550857
A41011211,Stevens Point,WI,54481,44.50462654,-89.54389175
A41011223,Stevens Point,WI,54481,44.541956,-89.542435
A41011244,Appleton,WI,54915,44.24782903,-88.40762636
A41011259,Weyauwega,WI,54983,44.32299786,-88.92949657
A41011278,Stevens Point,WI,54481,44.5271147,-89.5169177
A41029881,Fremont,WI,54940,44.23673,-88.865815
A41029884,Shawano,WI,54166,44.76960504,-88.59751392
A41029887,Iola,WI,54945,44.50952893,-89.13101647
A41029892,Waupaca,WI,54981,44.359224,-89.08111
A41029896,Fremont,WI,54940,44.26220545,-88.86908666
A41033908,Appleton,WI,54915,44.24756682,-88.37875377
