Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
1,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,0,1,,Adult,Normal,9/27/2020 12:28 PM,Stray,ACO / Police Drop Off,,,9/28/2020 12:38 PM,9/28/2020 12:38 PM,Return to Owner/Guardian,Stray Reclaim,,
1,"Mixed Breed, Small (under 24 lbs fully grown)",Mix,0,1,,Adult,Normal,9/27/2020 12:28 PM,Stray,ACO / Police Drop Off,,,9/28/2020 12:38 PM,9/28/2020 12:38 PM,Return to Owner/Guardian,Stray Reclaim,,
1,Shetland Sheepdog,Mix,0,1,0.0,Baby,Normal,2/2/2020 2:16 PM,Owner/Guardian Surrender,Born in Care,Other,,4/14/2020 11:58 AM,4/14/2020 11:58 AM,Adoption,Adoption Center,,
1,Shetland Sheepdog,Mix,0,1,0.0,Baby,Normal,2/2/2020 2:16 PM,Owner/Guardian Surrender,Born in Care,Other,,4/5/2020 4:06 PM,4/5/2020 4:06 PM,Adoption,Other Offsite,,
1,Shetland Sheepdog,Mix,0,1,0.0,Baby,Normal,2/2/2020 2:16 PM,Owner/Guardian Surrender,Born in Care,Other,,4/14/2020 11:25 AM,4/14/2020 11:25 AM,Adoption,Adoption Center,,
1,Shetland Sheepdog,Mix,1,1,0.0,Baby,Normal,2/2/2020 2:16 PM,Owner/Guardian Surrender,Born in Care,Other,,4/5/2020 3:04 PM,4/5/2020 3:04 PM,Adoption,Adoption Center,,
1,Shetland Sheepdog,Mix,1,1,0.0,Baby,Normal,2/2/2020 2:16 PM,Owner/Guardian Surrender,Born in Care,Other,,12/16/2020 9:23 PM,12/16/2020 9:23 PM,Adoption,Adoption Center,,
1,Shih Tzu,Mix,0,0,,Adult,Normal,2/3/2020 2:57 PM,Stray,Public Drop Off,,,2/4/2020 1:41 PM,2/4/2020 1:41 PM,Return to Owner/Guardian,Stray Reclaim,,
0,Domestic Shorthair,Mix,1,1,6.0,Young,Normal,2/3/2020 3:02 PM,Stray,Public Drop Off,,,2/10/2021 8:08 PM,2/10/2021 8:08 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,6.0,Young,Normal,2/3/2020 3:02 PM,Stray,Public Drop Off,,,2/10/2021 8:08 PM,2/10/2021 8:08 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,6.0,Young,Normal,2/3/2020 3:02 PM,Stray,Public Drop Off,,,5/27/2020 11:59 AM,5/27/2020 11:59 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,5.0,Young,Normal,2/7/2020 7:28 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,5/28/2020 5:21 PM,5/28/2020 5:21 PM,Adoption,Adoption Center,,
0,Domestic Longhair,Mix,1,1,180.0,Senior,Sick,2/7/2020 7:36 PM,Stray,ACO / Police Drop Off,,,2/25/2020 3:48 PM,,Euthanasia,Disease - Other Fatal,,
0,Domestic Shorthair,Mix,0,1,8.0,Young,Normal,2/7/2020 7:36 PM,Stray,ACO / Police Drop Off,,,2/29/2020 10:57 AM,2/29/2020 10:57 AM,Adoption,Adoption Center,,
1,"Retriever, Labrador",Mix,1,0,,Adult,Normal,2/8/2020 11:06 PM,Stray,ACO / Police Drop Off,,,2/10/2020 11:24 AM,2/10/2020 11:24 AM,Return to Owner/Guardian,Stray Reclaim,,
